algorithm,time,convergence,n,d,k,Nodes N,Nodes n,GPUs
sequential,0.9411401748657227,21,1024,5,3,1,2,2
stock,7.0427961349487305,1000,1024,5,3,1,2,2
pyCUDA,0.013047933578491211,20,1024,5,3,1,2,2
mpi4py,24.470616102218628,1000,1024,5,3,1,2,2
hybrid,0.05027294158935547,17,1024,5,3,1,2,2
sequential,0.8805677890777588,16,1024,5,4,1,2,2
stock,8.923118114471436,1000,1024,5,4,1,2,2
pyCUDA,0.004589080810546875,15,1024,5,4,1,2,2
mpi4py,24.36978006362915,1000,1024,5,4,1,2,2
hybrid,0.3493478298187256,336,1024,5,4,1,2,2
sequential,0.9003801345825195,14,1024,5,5,1,2,2
stock,10.830793142318726,1000,1024,5,5,1,2,2
pyCUDA,0.004280805587768555,13,1024,5,5,1,2,2
mpi4py,24.71676206588745,1000,1024,5,5,1,2,2
hybrid,0.03778815269470215,34,1024,5,5,1,2,2
sequential,3.1730270385742188,28,1024,5,10,1,2,2
stock,15.230350017547607,1000,1024,5,10,1,2,2
pyCUDA,0.007578849792480469,27,1024,5,10,1,2,2
mpi4py,25.287967920303345,1000,1024,5,10,1,2,2
hybrid,0.07379293441772461,65,1024,5,10,1,2,2
sequential,5.543195009231567,22,1024,5,25,1,2,2
stock,26.360610961914062,1000,1024,5,25,1,2,2
pyCUDA,0.006418943405151367,21,1024,5,25,1,2,2
mpi4py,28.521265029907227,1000,1024,5,25,1,2,2
hybrid,1.3666329383850098,1000,1024,5,25,1,2,2
sequential,10.202447891235352,21,1024,5,50,1,2,2
stock,41.04752516746521,1000,1024,5,50,1,2,2
pyCUDA,0.0065119266510009766,20,1024,5,50,1,2,2
mpi4py,32.43636608123779,1000,1024,5,50,1,2,2
hybrid,1.7774229049682617,1000,1024,5,50,1,2,2
sequential,19.337510108947754,20,1024,5,100,1,2,2
stock,74.79789614677429,1000,1024,5,100,1,2,2
pyCUDA,0.007280111312866211,19,1024,5,100,1,2,2
mpi4py,44.14092803001404,1000,1024,5,100,1,2,2
hybrid,2.962562084197998,1000,1024,5,100,1,2,2
sequential,2.784965991973877,16,1024,25,3,1,2,2
stock,10.785568952560425,1000,1024,25,3,1,2,2
pyCUDA,0.005472898483276367,15,1024,25,3,1,2,2
mpi4py,27.942063093185425,1000,1024,25,3,1,2,2
hybrid,0.01259613037109375,8,1024,25,3,1,2,2
sequential,4.823452949523926,22,1024,25,4,1,2,2
stock,13.828426122665405,1000,1024,25,4,1,2,2
pyCUDA,0.006703853607177734,21,1024,25,4,1,2,2
mpi4py,28.24777603149414,1000,1024,25,4,1,2,2
hybrid,0.012655019760131836,8,1024,25,4,1,2,2
sequential,3.6908209323883057,14,1024,25,5,1,2,2
stock,15.638563871383667,1000,1024,25,5,1,2,2
pyCUDA,0.004942893981933594,13,1024,25,5,1,2,2
mpi4py,28.504491090774536,1000,1024,25,5,1,2,2
hybrid,0.012429952621459961,8,1024,25,5,1,2,2
sequential,14.309305906295776,30,1024,25,10,1,2,2
stock,24.77096700668335,1000,1024,25,10,1,2,2
pyCUDA,0.008515119552612305,29,1024,25,10,1,2,2
mpi4py,0.07448697090148926,2,1024,25,10,1,2,2
hybrid,0.0340120792388916,24,1024,25,10,1,2,2
sequential,27.19752311706543,24,1024,25,25,1,2,2
stock,38.164453983306885,1000,1024,25,25,1,2,2
pyCUDA,0.00729823112487793,23,1024,25,25,1,2,2
mpi4py,0.06857514381408691,2,1024,25,25,1,2,2
hybrid,0.8437590599060059,513,1024,25,25,1,2,2
sequential,48.38109993934631,22,1024,25,50,1,2,2
stock,54.33480906486511,1000,1024,25,50,1,2,2
pyCUDA,0.007472038269042969,21,1024,25,50,1,2,2
mpi4py,0.11793088912963867,3,1024,25,50,1,2,2
hybrid,0.03512907028198242,15,1024,25,50,1,2,2
sequential,47.34787917137146,11,1024,25,100,1,2,2
stock,86.68988418579102,1000,1024,25,100,1,2,2
pyCUDA,0.005854129791259766,10,1024,25,100,1,2,2
mpi4py,50.082403898239136,1000,1024,25,100,1,2,2
hybrid,3.105684995651245,1000,1024,25,100,1,2,2
sequential,3.9066340923309326,12,1024,50,3,1,2,2
stock,15.991544961929321,1000,1024,50,3,1,2,2
pyCUDA,0.004372835159301758,11,1024,50,3,1,2,2
mpi4py,0.11410284042358398,4,1024,50,3,1,2,2
hybrid,0.04234790802001953,35,1024,50,3,1,2,2
sequential,4.50771689414978,11,1024,50,4,1,2,2
stock,15.047384977340698,1000,1024,50,4,1,2,2
pyCUDA,0.004140138626098633,10,1024,50,4,1,2,2
mpi4py,28.14680504798889,1000,1024,50,4,1,2,2
hybrid,0.006975889205932617,3,1024,50,4,1,2,2
sequential,9.288437843322754,19,1024,50,5,1,2,2
stock,17.654232025146484,1000,1024,50,5,1,2,2
pyCUDA,0.006030082702636719,18,1024,50,5,1,2,2
mpi4py,28.543774843215942,1000,1024,50,5,1,2,2
hybrid,0.005897045135498047,2,1024,50,5,1,2,2
sequential,42.54356002807617,48,1024,50,10,1,2,2
stock,29.19415807723999,1000,1024,50,10,1,2,2
pyCUDA,0.012921810150146484,47,1024,50,10,1,2,2
mpi4py,28.799229860305786,1000,1024,50,10,1,2,2
hybrid,1.250887155532837,1000,1024,50,10,1,2,2
sequential,26.221544981002808,13,1024,50,25,1,2,2
stock,40.82571792602539,1000,1024,50,25,1,2,2
pyCUDA,0.004881858825683594,12,1024,50,25,1,2,2
mpi4py,0.09963512420654297,3,1024,50,25,1,2,2
hybrid,1.5289490222930908,1000,1024,50,25,1,2,2
sequential,77.31856489181519,20,1024,50,50,1,2,2
stock,59.04746699333191,1000,1024,50,50,1,2,2
pyCUDA,0.008331060409545898,19,1024,50,50,1,2,2
mpi4py,40.54605007171631,1000,1024,50,50,1,2,2
hybrid,0.026018142700195312,10,1024,50,50,1,2,2
sequential,107.18825507164001,14,1024,50,100,1,2,2
stock,94.0596170425415,1000,1024,50,100,1,2,2
pyCUDA,0.00921010971069336,13,1024,50,100,1,2,2
mpi4py,54.56205487251282,1000,1024,50,100,1,2,2
hybrid,3.8207199573516846,1000,1024,50,100,1,2,2
sequential,4.808366775512695,8,1024,100,3,1,2,2
stock,20.772528886795044,1000,1024,100,3,1,2,2
pyCUDA,0.0035161972045898438,7,1024,100,3,1,2,2
mpi4py,26.18451690673828,1000,1024,100,3,1,2,2
hybrid,1.1179640293121338,1000,1024,100,3,1,2,2
sequential,21.02999496459961,28,1024,100,4,1,2,2
stock,21.130816221237183,1000,1024,100,4,1,2,2
pyCUDA,0.008038997650146484,27,1024,100,4,1,2,2
mpi4py,26.381869077682495,1000,1024,100,4,1,2,2
hybrid,1.149716854095459,1000,1024,100,4,1,2,2
sequential,13.319752931594849,15,1024,100,5,1,2,2
stock,23.375106811523438,1000,1024,100,5,1,2,2
pyCUDA,0.005027055740356445,14,1024,100,5,1,2,2
mpi4py,27.620576858520508,1000,1024,100,5,1,2,2
hybrid,1.2098090648651123,1000,1024,100,5,1,2,2
sequential,39.03264307975769,24,1024,100,10,1,2,2
stock,37.623722076416016,1000,1024,100,10,1,2,2
pyCUDA,0.007462978363037109,23,1024,100,10,1,2,2
mpi4py,30.132790088653564,1000,1024,100,10,1,2,2
hybrid,0.9588110446929932,696,1024,100,10,1,2,2
sequential,129.48453497886658,33,1024,100,25,1,2,2
stock,55.46412992477417,1000,1024,100,25,1,2,2
pyCUDA,0.012776851654052734,32,1024,100,25,1,2,2
mpi4py,0.0765540599822998,2,1024,100,25,1,2,2
hybrid,0.20303893089294434,112,1024,100,25,1,2,2
sequential,154.90300703048706,20,1024,100,50,1,2,2
stock,75.99751806259155,1000,1024,100,50,1,2,2
pyCUDA,0.011857986450195312,19,1024,100,50,1,2,2
mpi4py,0.0952458381652832,2,1024,100,50,1,2,2
hybrid,2.8157711029052734,1000,1024,100,50,1,2,2
