algorithm,time,convergence,n,d,k,Nodes N,Nodes n,GPUs
sequential,1.0354220867156982,21,1024,5,3,1,2,2
stock,7.546689033508301,1000,1024,5,3,1,2,2
pyCUDA,0.01483917236328125,20,1024,5,3,1,2,2
mpi4py,0.38507509231567383,15,1024,5,3,1,2,2
hybrid,0.08201909065246582,28,1024,5,3,1,2,2
sequential,1.0255601406097412,17,1024,5,4,1,2,2
stock,9.682662010192871,1000,1024,5,4,1,2,2
pyCUDA,0.005071163177490234,16,1024,5,4,1,2,2
mpi4py,0.07431507110595703,3,1024,5,4,1,2,2
hybrid,0.0238189697265625,19,1024,5,4,1,2,2
sequential,0.8445332050323486,13,1024,5,5,1,2,2
stock,10.607968091964722,1000,1024,5,5,1,2,2
pyCUDA,0.0039730072021484375,12,1024,5,5,1,2,2
mpi4py,0.07238912582397461,3,1024,5,5,1,2,2
hybrid,0.006056070327758789,3,1024,5,5,1,2,2
sequential,2.6586899757385254,24,1024,5,10,1,2,2
stock,14.644856929779053,1000,1024,5,10,1,2,2
pyCUDA,0.00656890869140625,23,1024,5,10,1,2,2
mpi4py,0.07364702224731445,3,1024,5,10,1,2,2
hybrid,1.095242977142334,1000,1024,5,10,1,2,2
sequential,4.666383981704712,19,1024,5,25,1,2,2
stock,24.84431290626526,1000,1024,5,25,1,2,2
pyCUDA,0.005663156509399414,18,1024,5,25,1,2,2
mpi4py,0.07693791389465332,3,1024,5,25,1,2,2
hybrid,1.3351008892059326,1000,1024,5,25,1,2,2
sequential,14.844022989273071,31,1024,5,50,1,2,2
stock,40.38187313079834,1000,1024,5,50,1,2,2
pyCUDA,0.00881195068359375,30,1024,5,50,1,2,2
mpi4py,0.08737015724182129,3,1024,5,50,1,2,2
hybrid,1.7443790435791016,1000,1024,5,50,1,2,2
sequential,14.883962869644165,16,1024,5,100,1,2,2
stock,68.90262293815613,1000,1024,5,100,1,2,2
pyCUDA,0.005690097808837891,15,1024,5,100,1,2,2
mpi4py,0.13527393341064453,4,1024,5,100,1,2,2
hybrid,2.539252996444702,1000,1024,5,100,1,2,2
sequential,2.5205249786376953,16,1024,25,3,1,2,2
stock,9.502272844314575,1000,1024,25,3,1,2,2
pyCUDA,0.00493311882019043,15,1024,25,3,1,2,2
mpi4py,0.6297628879547119,26,1024,25,3,1,2,2
hybrid,0.008307933807373047,5,1024,25,3,1,2,2
sequential,2.763974905014038,14,1024,25,4,1,2,2
stock,12.148571014404297,1000,1024,25,4,1,2,2
pyCUDA,0.0044710636138916016,13,1024,25,4,1,2,2
mpi4py,0.624629020690918,26,1024,25,4,1,2,2
hybrid,0.013340950012207031,10,1024,25,4,1,2,2
sequential,3.5077908039093018,15,1024,25,5,1,2,2
stock,14.012916088104248,1000,1024,25,5,1,2,2
pyCUDA,0.004660844802856445,14,1024,25,5,1,2,2
mpi4py,0.07386898994445801,3,1024,25,5,1,2,2
hybrid,0.010458946228027344,7,1024,25,5,1,2,2
sequential,14.056487083435059,33,1024,25,10,1,2,2
stock,22.395627975463867,1000,1024,25,10,1,2,2
pyCUDA,0.008558988571166992,32,1024,25,10,1,2,2
mpi4py,25.57106113433838,1000,1024,25,10,1,2,2
hybrid,0.27457618713378906,236,1024,25,10,1,2,2
sequential,20.93861198425293,21,1024,25,25,1,2,2
stock,33.739145040512085,1000,1024,25,25,1,2,2
pyCUDA,0.006150007247924805,20,1024,25,25,1,2,2
mpi4py,28.173686981201172,1000,1024,25,25,1,2,2
hybrid,0.01572394371032715,8,1024,25,25,1,2,2
sequential,33.430957078933716,17,1024,25,50,1,2,2
stock,48.37658882141113,1000,1024,25,50,1,2,2
pyCUDA,0.005851030349731445,16,1024,25,50,1,2,2
mpi4py,0.22673606872558594,7,1024,25,50,1,2,2
hybrid,0.17892003059387207,92,1024,25,50,1,2,2
sequential,50.34383296966553,13,1024,25,100,1,2,2
stock,78.03146290779114,1000,1024,25,100,1,2,2
pyCUDA,0.0065021514892578125,12,1024,25,100,1,2,2
mpi4py,0.08214807510375977,2,1024,25,100,1,2,2
hybrid,2.813110828399658,1000,1024,25,100,1,2,2
sequential,4.782272100448608,16,1024,50,3,1,2,2
stock,14.636712074279785,1000,1024,50,3,1,2,2
pyCUDA,0.005145072937011719,15,1024,50,3,1,2,2
mpi4py,25.407812118530273,1000,1024,50,3,1,2,2
hybrid,0.03923606872558594,35,1024,50,3,1,2,2
sequential,4.874116897583008,13,1024,50,4,1,2,2
stock,14.148193836212158,1000,1024,50,4,1,2,2
pyCUDA,0.004364013671875,12,1024,50,4,1,2,2
mpi4py,0.05097198486328125,2,1024,50,4,1,2,2
hybrid,1.0102710723876953,967,1024,50,4,1,2,2
sequential,8.838768005371094,20,1024,50,5,1,2,2
stock,15.935127973556519,1000,1024,50,5,1,2,2
pyCUDA,0.005745887756347656,19,1024,50,5,1,2,2
mpi4py,0.372114896774292,15,1024,50,5,1,2,2
hybrid,0.018501996994018555,14,1024,50,5,1,2,2
sequential,29.77750015258789,37,1024,50,10,1,2,2
stock,26.419342041015625,1000,1024,50,10,1,2,2
pyCUDA,0.00984811782836914,36,1024,50,10,1,2,2
mpi4py,0.10826492309570312,4,1024,50,10,1,2,2
hybrid,0.05652499198913574,45,1024,50,10,1,2,2
sequential,50.16607403755188,26,1024,50,25,1,2,2
stock,39.06766700744629,1000,1024,50,25,1,2,2
pyCUDA,0.007726907730102539,25,1024,50,25,1,2,2
mpi4py,0.09112095832824707,3,1024,50,25,1,2,2
hybrid,0.017055034637451172,9,1024,50,25,1,2,2
sequential,71.60775303840637,19,1024,50,50,1,2,2
stock,56.50876784324646,1000,1024,50,50,1,2,2
pyCUDA,0.0077550411224365234,18,1024,50,50,1,2,2
mpi4py,0.10928893089294434,3,1024,50,50,1,2,2
hybrid,0.010468006134033203,3,1024,50,50,1,2,2
sequential,134.83867692947388,18,1024,50,100,1,2,2
stock,90.0799789428711,1000,1024,50,100,1,2,2
pyCUDA,0.010792016983032227,17,1024,50,100,1,2,2
mpi4py,0.41907501220703125,9,1024,50,100,1,2,2
hybrid,3.687311887741089,1000,1024,50,100,1,2,2
sequential,14.229767799377441,25,1024,100,3,1,2,2
stock,20.32794690132141,1000,1024,100,3,1,2,2
pyCUDA,0.007224082946777344,24,1024,100,3,1,2,2
mpi4py,25.277751922607422,1000,1024,100,3,1,2,2
hybrid,1.0955109596252441,1000,1024,100,3,1,2,2
sequential,11.503953218460083,16,1024,100,4,1,2,2
stock,20.928258895874023,1000,1024,100,4,1,2,2
pyCUDA,0.005341053009033203,15,1024,100,4,1,2,2
mpi4py,25.4882869720459,1000,1024,100,4,1,2,2
hybrid,1.1145961284637451,1000,1024,100,4,1,2,2
sequential,12.893378973007202,15,1024,100,5,1,2,2
stock,22.635870933532715,1000,1024,100,5,1,2,2
pyCUDA,0.00492405891418457,14,1024,100,5,1,2,2
mpi4py,0.07792282104492188,3,1024,100,5,1,2,2
hybrid,1.1651630401611328,1000,1024,100,5,1,2,2
sequential,53.92710018157959,34,1024,100,10,1,2,2
stock,36.651819944381714,1000,1024,100,10,1,2,2
pyCUDA,0.009697914123535156,33,1024,100,10,1,2,2
mpi4py,28.709194898605347,1000,1024,100,10,1,2,2
hybrid,1.329375982284546,1000,1024,100,10,1,2,2
sequential,82.80975103378296,22,1024,100,25,1,2,2
stock,53.28420805931091,1000,1024,100,25,1,2,2
pyCUDA,0.008826017379760742,21,1024,100,25,1,2,2
mpi4py,33.80743980407715,1000,1024,100,25,1,2,2
hybrid,1.7290699481964111,1000,1024,100,25,1,2,2
sequential,148.25399518013,20,1024,100,50,1,2,2
stock,72.93201804161072,1000,1024,100,50,1,2,2
pyCUDA,0.011476993560791016,19,1024,100,50,1,2,2
mpi4py,0.12703204154968262,3,1024,100,50,1,2,2
hybrid,2.7556540966033936,1000,1024,100,50,1,2,2
sequential,205.99935793876648,14,1024,100,100,1,2,2
stock,117.86223602294922,1000,1024,100,100,1,2,2
pyCUDA,0.013459205627441406,13,1024,100,100,1,2,2
mpi4py,60.35501194000244,1000,1024,100,100,1,2,2
hybrid,0.012722015380859375,2,1024,100,100,1,2,2
sequential,93.47275114059448,17,1024,1000,3,1,2,2
stock,115.2348120212555,1000,1024,1000,3,1,2,2
pyCUDA,0.02621293067932129,28,1024,1000,3,1,2,2
mpi4py,0.1096799373626709,3,1024,1000,3,1,2,2
hybrid,0.027070045471191406,4,1024,1000,3,1,2,2
sequential,149.05229306221008,19,1024,1000,4,1,2,2
stock,215.66178703308105,1000,1024,1000,4,1,2,2
pyCUDA,0.24958014488220215,302,1024,1000,4,1,2,2
mpi4py,43.4153618812561,1000,1024,1000,4,1,2,2
hybrid,0.03189492225646973,6,1024,1000,4,1,2,2
